geometry,coordinates,OBJECTID,CARTONAME,SUBDIVISION,Shape_Length
LineString,"-78.7836499766197,35.58523505530883,-78.78375936881942,35.58505930882544,-78.78383400915412,35.5849746137467,-78.78389381387949,35.58493522535353,-78.78396701658521,35.58491663797558,-78.7840578679537,35.58490100154395,-78.78415373196718,35.584898767822374,-78.78423898488725,35.58493309121743,-78.78439108839562,35.585023744361884",11,CAROB CT,Charleston Commons,295.73632932651435
LineString,"-78.77206526740584,35.608544353917935,-78.77191392914054,35.608841379964524,-78.77190927864054,35.60884969830271,-78.77190392248501,35.60885970362477,-78.7718999767343,35.60886822519681,-78.77189616658627,35.60887680471233,-78.77189193106554,35.60888709968085,-78.77188875400743,35.608895851648654,-78.7718855707772,35.608906404586996,-78.77188259480953,35.608917046250596,-78.77188046815647,35.6089259417079,-78.77187790954287,35.60893850141642,-78.77187619295856,35.60895111949264,-78.77187511409308,35.60896030446026,-78.77187424477361,35.6089711204401,-78.77187399684546,35.6089839134383,-78.77187410768946,35.60899473125747,-78.77187457081541,35.609003919118685,-78.77187548852885,35.60901473845194,-78.77187723894004,35.60902736393556,-78.77187917213475,35.609038186977216,-78.77188138254833,35.60904895104707,-78.77188429639324,35.60905960376286,-78.77188749289768,35.60907022546023,-78.77189305483496,35.60908594716774,-78.77189744320553,35.60909626012082,-78.77190204032277,35.609106527494404,-78.77190810247187,35.6091182596753,-78.77191458995206,35.609129861050576,-78.77192254503574,35.60914279833843,-78.77193144581597,35.60915543543358,-78.77194087296182,35.609167732789196,-78.77194831131706,35.609176803033634,-78.77195501949129,35.609184115094024,-78.7719617279177,35.60919133791663,-78.77196885736382,35.60919839296826,-78.77197619922842,35.60920527444913,-78.77198353920353,35.609212043251965,-78.771991299191,35.60921861002885,-78.77200084658595,35.609226226674274,-78.77201417051839,35.60923603988397,-78.77202592294942,35.60924417535789,-78.77203473869311,35.60924977241083,-78.7720455487817,35.60925623222998,-78.77205839114797,35.60926341156447,-78.77206958957719,35.60926915730541,-78.77208313511099,35.60927553571647,-78.7723853291148,35.609451423645,-78.77256613496743,35.60961231625353,-78.77280924141766,35.609914982432926",12,BECKWOOD CT,Ballentine,621.3375862724025
LineString,"-78.79246703729227,35.6016162833879,-78.79267545750062,35.60192534301913",13,CHERAW CT,Village of Sippihaw,128.42253662918858
LineString,"-78.78741033445532,35.584621588405376,-78.78723797725459,35.58456472313357,-78.78722680031781,35.584338037080464,-78.7872610745107,35.58425361263764,-78.78738888234568,35.58409328015954,-78.78746955140377,35.58395227131323,-78.78751678537549,35.583735132242964,-78.78750543319043,35.583575071819766,-78.78743693038734,35.58340529621891,-78.78735623688833,35.583235154905886,-78.78732151735593,35.58316898378109,-78.7873452807271,35.583084541794896,-78.78743823148041,35.58285798285878",14,E LAKESIDE DR,Town Street,711.3162788194782
LineString,"-78.7893518709275,35.59879155621843,-78.78859909427652,35.598671879921696,-78.78772344451589,35.59860627001746,-78.78618734600326,35.59850836952759",15,ASHLEY LN,Town Street,947.4034686308042
LineString,"-78.7965460624901,35.60251571692486,-78.79664398133087,35.602686757961415,-78.79679927231551,35.60280636036445,-78.79693537030543,35.602866002257365,-78.79752210591495,35.60289822514198",16,EAGLE EYE CT,Village of Sippihaw,352.88945415832785
LineString,"-78.78450774172323,35.58589316843951,-78.78430621384429,35.58605434862605,-78.78422612191724,35.58613319593817,-78.78417041933811,35.586209853751456,-78.78415471772144,35.58626546193929,-78.7841546048221,35.58630787701149,-78.78417714713562,35.58636870280582,-78.78420812229983,35.586419586729704,-78.78424791614432,35.58647477875748,-78.78429445925639,35.586521568203445,-78.78448137514181,35.58668911721415",17,GERANIUM CT,Charleston Commons,361.38058346965744
LineString,"-78.78450774172323,35.58589316843951,-78.78462217159488,35.585814161857854,-78.78474046203812,35.58575770506558,-78.7848549373437,35.58571257377807,-78.78498324912445,35.58568154850236,-78.78505347132226,35.58567686557206,-78.78511861743618,35.58568470756366,-78.78516061692511,35.585700923152146,-78.78517987331459,35.5857327242579,-78.78519112427074,35.5857698348661,-78.78520120110825,35.58593401525722,-78.78520078810398,35.58608993291534,-78.78521410122657,35.58628255360388",18,JONQUIL CT,Charleston Commons,430.82664875320097
LineString,"-78.77801488913295,35.59949426758963,-78.77812836464952,35.59945513070535,-78.77818264861514,35.59944132216456,-78.77824941638731,35.59943669003885,-78.77832277881082,35.59944649131784,-78.77841030724007,35.59946985372178,-78.77849068085503,35.5995125361367,-78.77855207988412,35.59956872017294,-78.7785969158868,35.59962100612356,-78.77862478126751,35.59967961057297,-78.77864156411654,35.59974289740792,-78.7786479825407,35.59980655116196,-78.77863015618314,35.600196182549276",19,AZALEA SPRINGS CT,Smith Farms,413.66545226290447
LineString,"-78.76659862911103,35.5815478507683,-78.76596004824734,35.58155566901409",20,JOHSTE CT,Inglenook,189.89299816818752
LineString,"-78.79610406438141,35.584318960371014,-78.79608581072756,35.586695735310656",21,EAST ST,Town Street,865.0978344462599
LineString,"-78.80329942798079,35.57620364548321,-78.80328202498477,35.576604808725754,-78.80328096962342,35.57666371709588,-78.80328271497676,35.57669653087167,-78.8032881312096,35.576721148753734,-78.80329630043133,35.57673980472734,-78.8033099604502,35.57675324958255,-78.80333001540048,35.5767644675126,-78.8033555571337,35.5767712197706,-78.80339387747632,35.57677724724209,-78.80344497722804,35.57678404173277,-78.8037698701619,35.57680768323249,-78.80397248012703,35.57681919662879,-78.8040144663481,35.57682000981271,-78.8040564705872,35.57681336573155,-78.80408296449652,35.57680371479902,-78.80410765036873,35.5767866027649,-78.8041286953496,35.576765757569085,-78.80413878626312,35.576744893812155,-78.80414431441385,35.5767232772424,-78.80414802773055,35.57669792865663,-78.80416050456708,35.57645617172252",22,HILLCREST CIR,Town Street,568.6294388609192
LineString,"-78.79313539774445,35.58579941629418,-78.79108654441559,35.58585154748088,-78.7909556122247,35.585758252105755,-78.79102355012517,35.584297636440475",23,FALCON DR,Town Street,1193.121784708052
LineString,"-78.79691371234003,35.576544632469265,-78.79691204339198,35.57702296650927,-78.79691916985037,35.577507707914656",24,DICKENS ST,Town Street,350.5456559724373
