X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.650780416,43.137693047,47bbff2a25f62755697577b62070a6ae,21-044918,366 Thurston Rd,2021/03/11 05:00:00+00,3,2021,Shooting,Yes,M,BLACK,NON HISPANIC,36,25-44,43.137693047,-77.650780416,104
-77.650780416,43.137693047,b85ad490b85aa04856f6cc959bc87a22,21-044918,366 Thurston Rd,2021/03/11 05:00:00+00,3,2021,Shooting,Yes,F,BLACK,NON HISPANIC,33,25-44,43.137693047,-77.650780416,105
-77.599080504,43.182572405,dc50af1fdad96e58f5ecc3d08e25505d,21-044022,952 Hudson Ave,2021/03/10 05:00:00+00,3,2021,Shooting,No,F,BLACK,NON HISPANIC,18,15-24,43.182572405,-77.599080504,106
-77.586849969,43.174653521,e5d4ace7c3911249a54883fafb6a6dc3,21-042547,206 Rohr St,2021/03/09 05:00:00+00,3,2021,Shooting,Yes,F,BLACK,NON HISPANIC,21,15-24,43.174653521,-77.586849969,107
-77.586849969,43.174653521,b8d44633fe9fb0a4d575513dafec188f,21-042547,206 Rohr St,2021/03/09 05:00:00+00,3,2021,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.174653521,-77.586849969,108
-77.6477639829999,43.14588465,8a59143a78d5cc55ed9e356efa182d65,21-042415,16 Post Ave,2021/03/08 05:00:00+00,3,2021,Shooting,No,F,BLACK,NON HISPANIC,23,15-24,43.14588465,-77.6477639829999,109
-77.624357926,43.123607947,33a50b1382fb92f863b5dcd4256158e3,21-040829,601 Elmwood Ave,2021/03/06 05:00:00+00,3,2021,Shooting,No,M,BLACK,NON HISPANIC,34,25-44,43.123607947,-77.624357926,110
-77.637352269,43.186391825,c19077f551eb0cd0792d4925a5b20b27,21-041216,228 Augustine St,2021/03/06 05:00:00+00,3,2021,Shooting,No,F,WHITE,NON HISPANIC,15,15-24,43.186391825,-77.637352269,111
-77.6343830499999,43.1380889430001,cc8c3d3650cdd99d30c1f27e39c6cb78,21-036528,422 Magnolia St,2021/02/27 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,18,15-24,43.1380889430001,-77.6343830499999,112
-77.623787518,43.1480629540001,8e4fa4386ebde0bfc90e490c2f5f2cc9,21-036573,312 Tremont St,2021/02/27 05:00:00+00,2,2021,Shooting,No,F,BLACK,NON HISPANIC,65,45-Older,43.1480629540001,-77.623787518,113
-77.5998015549999,43.178460665,bcec5e7c76171a10ea01a052d651c201,21-036524,355 Wilkins St,2021/02/27 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.178460665,-77.5998015549999,114
-77.627414207,43.1949023020001,4c15982b32926bdccafdfe11794540f7,21-034817,39 Lapham St,2021/02/25 05:00:00+00,2,2021,Homicide,No,M,BLACK,NON HISPANIC,21,15-24,43.1949023020001,-77.627414207,115
-77.626671942,43.164899942,0ae58a00d5763bfa37b3772e54e4512f,21-032612,98 Lyell Ave,2021/02/21 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,14,5-14,43.164899942,-77.626671942,116
-77.6289169029999,43.192469933,6950bd131619ddd8b25566814907a86f,21-032626,1426 Lake Ave,2021/02/21 05:00:00+00,2,2021,Shooting,No,M,BLACK,HISPANIC,26,25-44,43.192469933,-77.6289169029999,117
-77.638634383,43.194621478,37a9b965801a15c47c7c7f292efc652e,21-031545,1514 Dewey Ave,2021/02/20 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,30,25-44,43.194621478,-77.638634383,118
-77.598577069,43.141797721,5e5190346e8af05e75278723d9631f3e,21-027618,809 S Clinton Ave,2021/02/14 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.141797721,-77.598577069,119
-77.576623366,43.175950749,8011904292a3f4ad5cfd9aa4d8b17d4f,21-027518,1688 Clifford Ave,2021/02/13 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.175950749,-77.576623366,120
-77.629009518,43.192132945,3e763cd287a6264cc7d86cdc4ef9270e,21-027520,1408 Lake Ave,2021/02/13 05:00:00+00,2,2021,Shooting,No,F,BLACK,NON HISPANIC,23,15-24,43.192132945,-77.629009518,121
-77.6336365079999,43.1741855080001,c78eee87ffd431252b4cf2032506cfe0,21-025570,31 Locust St,2021/02/10 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,17,15-24,43.1741855080001,-77.6336365079999,122
-77.601116439,43.175461564,c6acd50301d841e8c4d5d664534a6fb1,21-022841,822 Clifford Ave,2021/02/06 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,32,25-44,43.175461564,-77.601116439,123
-77.621452409,43.1792646370001,0f759b8dd7d4383008592b656bca4d44,21-021089,84 Harris St,2021/02/03 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,49,45-Older,43.1792646370001,-77.621452409,124
-77.629816763,43.1647934750001,94511ae6c375d10634af6e9dccfc1f16,21-019604,200 Lyell Ave,2021/02/01 05:00:00+00,2,2021,Shooting,No,M,BLACK,NON HISPANIC,26,25-44,43.1647934750001,-77.629816763,125
-77.637170445,43.1646945110001,ccb4b7de2c81dc82be71deb1a35a51f2,21-019806,424 Lyell Ave,2021/02/01 05:00:00+00,2,2021,Homicide,Yes,M,BLACK,NON HISPANIC,23,15-24,43.1646945110001,-77.637170445,126
-77.637170445,43.1646945110001,b1445a6248a4beb8f3dd2f8d3ea8c7d7,21-019806,424 Lyell Ave,2021/02/01 05:00:00+00,2,2021,Shooting,Yes,F,BLACK,NON HISPANIC,22,15-24,43.1646945110001,-77.637170445,127
